,UUID,Date,text,FixedText
276,6307e73d-e169-44b8-b235-08b5cfba6be9,1889-01-12,"<p>Jan 12 [18]89<br/>
[[Christian Mads Jensen|C M Jensen]]<br/>
[[Mantua, Box Elder County, Utah Territory|Mantua]]<br/>
Re<sup>d</sup> <u>Jan 14 [18]89</u></p>

<p>Accepts Mission</p>

<p>[sideways text] <br/>
<span class=""unclear"">[J ma]</span><br/>
[end of sideways text]</p>",Jan 12 1889 C M Jensen Mantua Red Jan 14 1889  Accepts Mission  sideways text  J ma end of sideways text
291,49a2ff8d-d79e-4562-8b76-060cf3ee70ed,1889-08-23,"<p>Aug 23 [18]89<br/>
[[Alva B. Wilson|Alva B Wilson]]<br/>
[[Hyrum, Cache County, Utah Territory|Hyrum]]<br/>
Re[ceive]d aug 26 [18]89</p>

<p>Accepts Mission</p>",Aug 23 1889 Alva B Wilson Hyrum Received aug 26 1889  Accepts Mission
318,88bab702-1faf-4ebb-aa6e-a90ca8ce366a,1895-04-15,"<p>[[Thomas Romney|Thos Romney]]<br/>
Apl. 15 [18]95. </p>",Thos Romney Apl. 15 1895. 
622,6b566e2c-0922-4676-8ef2-ab205c0d5794,1889-01-11,"<p>Jan 11 [18]89<br/>
[[Ephraim Peter Johnson|Ephraim Johnson]]<br/>
[[Brigham City, Box Elder County, Utah Territory|Brigham]]<br/>
Re<sup>d</sup> <u>Jan 12 [18]89</u></p>

<p>Accepts mission</p>",Jan 11 1889 Ephraim Johnson Brigham Red Jan 12 1889  Accepts mission
736,553aac1c-8c96-4fa5-8237-3a9f34f1355c,1889-01-23,"<p>Jan 23 [18]89.<br/>
Pres<sup>t</sup> [[George Chandler Parkinson|Geo. C. Parkinson]]<br/>
[[Franklin, Oneida County, Idaho Territory|Franklin]]<br/>
Rc<sup>d</sup> Jan 25 [18]89</p>",Jan 23 1889. Prest Geo. C. Parkinson Franklin Rcd Jan 25 1889
2140,d6acc12f-502d-424f-853d-d7510cffc280,1889-01-10,"<p>Jan 10 [18]89<br/>
[[Joseph E. Creer|Jos A Creer]]<br/>
[[Spanish Fork, Utah County, Utah Territory|Spanishfork]]<br/>
Rc<sup>d</sup> <u>Jan 11 [18]89</u></p>

<p>Accepts Mission</p>",Jan 10 1889 Jos A Creer Spanishfork Rcd Jan 11 1889  Accepts Mission
2183,a6d8abc4-d32f-431e-af8f-3fc06d92abd9,1889-01-09,"<p>Jan 9 [18]89</p>

<p>[[Michael Nielson|Michael Nielsen]]<br/>
[[Richfield, Sevier County, Utah Territory|Richfield]]<br/>
<u>Rc<sup>d</sup> Jan 14 [18]89</u></p>",Jan 9 1889  Michael Nielsen Richfield Rcd Jan 14 1889
2448,030a4c70-17a8-4f05-b3a2-7baecd8c1e5f,1889-01-17,"<p>Jan 17 [18]89<br/>
[[Frances Charles Mickelson|F. C. M<strike>c</strike>ickelson]]<br/>
[[Redmond, Sevier County, Utah Territory|Redmond]]<br/>
<u>Rc<sup>d</sup> Jan 23 [18]89</u></p>",Jan 17 1889 F. C. Mcickelson Redmond Rcd Jan 23 1889
15246,21ebb8ee-db7e-4d3f-b97f-c1113f29841d,1845-11-19,"<p>[stamp in black ink] AMERICA<br/>
[[Liverpool, Lancashire, England|LIVERPOOL]]<br/>
DEC28<br/>
1845</p>

<p>10</p>

<p>[stamp in red ink] [[Nauvoo, Hancock County, Illinois|NAUVOO]]<br/>
NOV<br/>
23<br/>
ILLS.</p>

<p>PAID</p>

<p>Mr. Wilford Woodruffe<br/>
Editor of the Millennial Star<br/>
Stanley Buildings Bath Street<br/>
Liverpool<br/>
England</p>

<p>Via. [[Boston, Suffolk County, Massachusetts|Boston]] &amp; [[Halifax, County of Halifax, Nova Scotia, British North America|Halifax]]. Steam Ship</p>

<p>[[Brigham Young|Brigham Young]]<br/>
Nov 19 1845</p>",stamp in black ink AMERICA LIVERPOOL DEC28 1845  10  stamp in red ink NAUVOO NOV 23 ILLS.  PAID  Mr. Wilford Woodruffe Editor of the Millennial Star Stanley Buildings Bath Street Liverpool England  Via. Halifax. Steam Ship  Brigham Young Nov 19 1845
15620,52a8976b-ea8a-4493-900a-655bbe75f1a4,1889-08-20,"<p>[[Provo, Utah County, Utah Territory|Provo City]], <time datetime=""1889-08-20"">August 20. [18]89</time></p>

<p>President Wilford Woodruff.</p>

<p>Dear Brother, <br/>
Enclosed please find letter from Bro. [[Jacob Spori|Jacob Spori]] at<br/>
[[Rexburg, Bingham County, Idaho Territory|Rexburg]], which I considered of such importance as to sub-<br/>
mit to you for action in the matter. There are a few points,<br/>
though, that need correcting. Page 1, lines 4-14, he states that<br/>
I had been consulted by you for the advisability of his going <br/>
to Rexburg. I do not know a word about it.</p>

<p>Page 9, lines 9-14. I am not responsible for the foolish talk<br/>
of that [[CBI|young boy]] <span class=""unclear"">[]</span> who expected to be assistant to <br/>
Bro. Spori, and to be taught by him. I am afraid the poor <br/>
boy is disconcerted about all this trouble.</p>

<p>Although Bro. Spori would have preferred not to have <br/>
this letter submitted to you, I put it my duty to do so, as <br/>
I cannot say one word in this affair without your in-<br/>
struction. Please let Bro. [[George Reynolds|Reynolds]] return Bro. Spori's<br/>
letter to me to be placed on file, when your decision is <br/>
made.</p>

<p>With continued prayers for your welfare I remain<br/>
Your brother in the Gospel <br/>
[[Karl Gottfried Maeser|Karl G. Maeser]]. </p>","Provo City, August 20. 1889  President Wilford Woodruff.  Dear Brother,  Enclosed please find letter from Bro. Jacob Spori at Rexburg, which I considered of such importance as to sub- mit to you for action in the matter. There are a few points, though, that need correcting. Page 1, lines 4-14, he states that I had been consulted by you for the advisability of his going  to Rexburg. I do not know a word about it.  Page 9, lines 9-14. I am not responsible for the foolish talk of that young boy  who expected to be assistant to  Bro. Spori, and to be taught by him. I am afraid the poor  boy is disconcerted about all this trouble.  Although Bro. Spori would have preferred not to have  this letter submitted to you, I put it my duty to do so, as  I cannot say one word in this affair without your in- struction. Please let Bro. Reynolds return Bro. Spori's letter to me to be placed on file, when your decision is  made.  With continued prayers for your welfare I remain Your brother in the Gospel  Karl G. Maeser. "
